Incident Date,State,City Or County,# Incidents
August,Tennessee,Pigeon Forge,1.0
May,Alabama,Mobile,2.0
July,Mississippi,Saucier,1.0
November,West Virginia,New Martinsville,1.0
August,California,Carlsbad,3.0
June,Colorado,Colorado Springs,1.0
October,Nebraska,Omaha,1.0
June,South Dakota,Tripp (county),1.0
July,Florida,Tampa,1.0
June,Oregon,Foster,1.0
July,Wisconsin,Waupaca,1.0
July,Tennessee,Ashland City,1.0
May,Indiana,Indianapolis,1.0
May,Michigan,Six Lakes,1.0
June,Virginia,Richmond,1.0
December,Arizona,Glendale,1.0
July,Texas,Mcallen,1.0
June,North Carolina,Raleigh,1.0
July,Ohio,Cleveland,1.0
July,Florida,Merritt Island,1.0
September,South Carolina,Starr,1.0
October,Mississippi,Columbus,1.0
October,Maryland,Glenn Dale,1.0
November,Texas,Concepcion,1.0
January,Indiana,Campbellsburg,1.0
May,Alabama,Huntsville,2.0
May,Kansas,Topeka,1.0
April,South Carolina,Chesnee,1.0
July,Tennessee,Murfreesboro,1.0
July,Vermont,Wells River,1.0
June,Pennsylvania,Red Lion,1.0
September,Kansas,Lawrence,1.0
November,Georgia,Jefferson,1.0
October,South Carolina,Warrenville,1.0
May,Ohio,Miamisburg,1.0
March,Texas,El Paso,1.0
July,Missouri,Miller,1.0
October,North Carolina,Elizabeth City,1.0
May,Virginia,Norfolk,1.0
March,Louisiana,Jennings,1.0
May,Missouri,Kansas City,1.0
February,Colorado,Westminster,1.0
August,Louisiana,Baton Rouge,1.0
May,Virginia,Roanoke,1.0
July,Maine,Ellsworth,1.0
August,Tennessee,Big Rock,1.0
July,Virginia,Lynchburg,1.0
May,Louisiana,New Orleans,1.0
April,Washington,Spokane,1.0
June,Idaho,Smelterville,1.0
August,North Dakota,Williston,1.0
June,District of Columbia,Washington,1.0
May,Texas,Corpus Christi,2.0
June,Alabama,Montgomery,1.0
April,Tennessee,Cookeville,2.0
February,Alabama,Moulton,1.0
June,South Carolina,Columbia,1.0
June,Vermont,Concord,1.0
February,New York,Syracuse,1.0
April,Michigan,Charlevoix,1.0
March,Louisiana,Lake Providence,1.0
August,New Jersey,Fair Lawn,2.0
May,California,Pacoima (Arleta),1.0
October,Illinois,Decatur,1.0
May,Idaho,Deary,1.0
July,Georgia,Newnan,1.0
October,Mississippi,Falkner,1.0
May,Washington,Tacoma,1.0
July,Georgia,Columbus,1.0
June,Georgia,Dallas,1.0
October,Oklahoma,Tulsa,1.0
March,Texas,Houston,1.0
June,Georgia,Athens,1.0
March,South Carolina,Seneca,1.0
May,California,Bakersfield,2.0
May,Alabama,Aliceville,1.0
May,Texas,Fort Worth,1.0
May,South Carolina,Sumter,1.0
June,Tennessee,Arlington,1.0
June,California,Pacifica,1.0
May,Alabama,Dothan,1.0
May,Virginia,Fredericksburg,1.0
