,Incident Date,State,City Or County,# Killed,# Injured
317,"October 3, 2017",Florida,Orlando,1.0,0
318,"October 3, 2017",Pennsylvania,Berwick,1.0,0
319,"October 2, 2017",Mississippi,Falkner,1.0,0
320,"October 1, 2017",Georgia,Augusta,1.0,0
321,"October 1, 2017",Indiana,Indianapolis,1.0,0
322,"October 1, 2017",South Carolina,Bowman,1.0,0
323,"September 30, 2017",Florida,Port Charlotte,1.0,0
324,"September 30, 2017",Mississippi,Horn Lake,1.0,1
325,"September 30, 2017",Texas,Cleveland (Plum Grove),1.0,0
326,"September 30, 2017",Georgia,Augusta,1.0,0
327,"September 28, 2017",Texas,Tornillo,1.0,0
328,"September 28, 2017",Ohio,Cleveland (Parma),1.0,0
329,"September 26, 2017",Texas,Garland,1.0,0
330,"September 24, 2017",New York,Yonkers,1.0,0
331,"September 23, 2017",Missouri,Saint Louis,1.0,0
332,"September 23, 2017",Missouri,Salem,1.0,0
333,"September 22, 2017",Kansas,Lawrence,1.0,0
334,"September 22, 2017",Kentucky,Franklin,1.0,0
335,"September 21, 2017",Colorado,Grand Junction,1.0,0
336,"September 19, 2017",Texas,Manvel,1.0,0
337,"September 17, 2017",Ohio,Fremont,1.0,0
338,"September 16, 2017",Montana,Pablo,1.0,0
339,"September 15, 2017",South Carolina,Hartsville,1.0,0
340,"September 14, 2017",Florida,Jacksonville,1.0,0
341,"September 14, 2017",Missouri,Pineville,1.0,0
342,"September 14, 2017",Florida,Tampa,1.0,0
343,"September 13, 2017",South Carolina,Starr,1.0,0
344,"September 13, 2017",Oklahoma,Tulsa,1.0,0
345,"September 12, 2017",California,Oakland,1.0,0
346,"September 11, 2017",Tennessee,Clarksville,1.0,0
347,"September 10, 2017",Ohio,Madison,1.0,0
348,"September 9, 2017",Mississippi,De Kalb,1.0,0
349,"September 8, 2017",Alaska,Manokotak,1.0,0
350,"September 6, 2017",South Carolina,Columbia,2.0,0
351,"September 3, 2017",Mississippi,Horn Lake,1.0,0
352,"September 2, 2017",Indiana,Hammond,2.0,0
353,"September 2, 2017",Texas,Haltom City,1.0,0
354,"September 2, 2017",Tennessee,Springfield,1.0,0
355,"August 31, 2017",Nevada,Las Vegas,1.0,0
356,"August 30, 2017",Mississippi,Cleveland,1.0,0
357,"August 28, 2017",Maine,Scarborough,1.0,0
358,"August 28, 2017",Florida,Pinellas Park,1.0,0
359,"August 28, 2017",Texas,Scurry,1.0,0
360,"August 27, 2017",Georgia,Marietta,1.0,0
361,"August 24, 2017",Pennsylvania,East Stroudsburg,1.0,0
362,"August 23, 2017",Colorado,Colorado Springs (Fort Carson),1.0,0
363,"August 22, 2017",Louisiana,Baton Rouge,1.0,0
364,"August 21, 2017",New York,Syracuse,1.0,0
365,"August 20, 2017",Missouri,Saint Joseph,1.0,0
366,"August 20, 2017",Tennessee,Memphis,1.0,0
367,"August 19, 2017",Tennessee,Memphis,1.0,0
368,"August 19, 2017",Tennessee,Clarksville,2.0,0
369,"August 17, 2017",North Carolina,Winston Salem (Winston-salem),1.0,0
370,"August 16, 2017",Alaska,Togiak,1.0,0
371,"August 15, 2017",Washington,Spokane,1.0,0
372,"August 15, 2017",Arizona,Queen Creek,1.0,0
373,"August 14, 2017",Kentucky,Covington,1.0,0
374,"August 14, 2017",Kentucky,Covington,1.0,0
375,"August 14, 2017",Alabama,Birmingham,1.0,0
376,"August 13, 2017",Indiana,Monticello,1.0,0
377,"August 12, 2017",Missouri,Festus,1.0,0
378,"August 9, 2017",Oklahoma,Tulsa,1.0,0
379,"August 9, 2017",Pennsylvania,West Mifflin,1.0,0
380,"August 8, 2017",Wisconsin,Loganville,1.0,0
381,"August 7, 2017",Texas,Wichita Falls,1.0,0
382,"August 6, 2017",Missouri,Kansas City,1.0,0
383,"August 5, 2017",Indiana,Crown Point,1.0,0
384,"August 4, 2017",Tennessee,Nashville,1.0,0
385,"August 4, 2017",Texas,San Antonio,1.0,0
386,"August 4, 2017",Mississippi,Gulfport,1.0,0
387,"August 2, 2017",New York,Glen Cove,1.0,0
388,"August 1, 2017",Nevada,Las Vegas,1.0,0
389,"August 1, 2017",Montana,Helena,1.0,0
390,"July 31, 2017",Illinois,Springfield,1.0,0
391,"July 31, 2017",Kentucky,Louisville,1.0,0
392,"July 31, 2017",South Carolina,Lancaster,1.0,0
393,"July 30, 2017",Texas,Bacliff,1.0,0
394,"July 30, 2017",Florida,Sarasota,1.0,0
395,"July 30, 2017",Florida,Tampa,1.0,0
396,"July 30, 2017",Maine,Baldwin,1.0,0
397,"July 29, 2017",South Dakota,Sioux Falls,1.0,0
398,"July 29, 2017",Florida,Saint Augustine,1.0,0
399,"July 29, 2017",South Carolina,Columbia,1.0,0
400,"July 29, 2017",Missouri,Miller,1.0,0
401,"July 26, 2017",Wisconsin,Waupaca,1.0,0
402,"July 26, 2017",California,Oakland,1.0,0
403,"July 24, 2017",Ohio,Newark,1.0,1
404,"July 24, 2017",Ohio,Cincinnati,1.0,0
405,"July 23, 2017",Missouri,Saint Louis,1.0,0
406,"July 23, 2017",Ohio,Miamisburg,1.0,0
407,"July 22, 2017",Pennsylvania,Pittsburgh,1.0,0
408,"July 22, 2017",Maryland,Jessup,1.0,0
409,"July 22, 2017",Tennessee,Memphis,1.0,0
410,"July 22, 2017",South Carolina,Columbia,1.0,0
411,"July 21, 2017",Mississippi,Starkville,1.0,0
412,"July 20, 2017",Texas,Humble (Atascocita),1.0,0
413,"July 19, 2017",Texas,San Angelo,1.0,0
414,"July 19, 2017",Georgia,Athens,1.0,0
415,"July 18, 2017",Arizona,Mesa,1.0,0
416,"July 17, 2017",Idaho,Troy,1.0,0
417,"July 14, 2017",Louisiana,New Orleans,1.0,0
418,"July 14, 2017",Louisiana,Westwego (Bridge City),1.0,0
419,"July 14, 2017",Illinois,Chicago (Englewood),1.0,0
420,"July 13, 2017",Illinois,Chicago,1.0,0
421,"July 13, 2017",Mississippi,Columbus,1.0,0
422,"July 12, 2017",Wisconsin,Racine,1.0,0
423,"July 12, 2017",New York,Gowanda,1.0,0
424,"July 8, 2017",Tennessee,Greeneville,1.0,0
425,"July 8, 2017",Illinois,Des Plaines,1.0,0
426,"July 6, 2017",West Virginia,Princeton,1.0,0
427,"July 6, 2017",Louisiana,Harvey,1.0,0
428,"July 5, 2017",Florida,Palm Beach (county),1.0,0
429,"July 5, 2017",Missouri,Columbia,1.0,0
430,"July 5, 2017",Washington,Federal Way,1.0,0
431,"July 5, 2017",Florida,Merritt Island,1.0,0
432,"July 4, 2017",Texas,San Antonio,1.0,0
433,"July 4, 2017",Mississippi,Louisville,1.0,0
434,"July 4, 2017",Florida,Wildwood,1.0,0
435,"July 4, 2017",Georgia,Atlanta,1.0,0
436,"July 1, 2017",Indiana,Hammond,1.0,0
437,"July 1, 2017",Mississippi,Jackson,1.0,0
438,"July 1, 2017",Oregon,Blue River,1.0,0
439,"July 1, 2017",Georgia,Cordele,1.0,0
440,"July 1, 2017",Colorado,Sedalia,1.0,0
441,"June 30, 2017",Georgia,Jenkins (county),1.0,0
442,"June 29, 2017",Arizona,Phoenix,1.0,0
443,"June 29, 2017",Mississippi,Pascagoula,1.0,0
444,"June 26, 2017",Minnesota,Halstad,1.0,0
445,"June 26, 2017",Indiana,Indianapolis,1.0,0
446,"June 26, 2017",Alabama,Montgomery,1.0,1
447,"June 25, 2017",Arkansas,El Dorado,1.0,0
448,"June 24, 2017",South Carolina,Greenville,1.0,0
449,"June 24, 2017",Pennsylvania,Red Lion,1.0,0
450,"June 24, 2017",Missouri,Saint Louis,1.0,0
451,"June 24, 2017",Tennessee,Nashville,1.0,1
452,"June 22, 2017",Florida,Bradenton,1.0,0
453,"June 21, 2017",Tennessee,Memphis,1.0,0
454,"June 20, 2017",Michigan,Clinton,1.0,0
455,"June 20, 2017",Arkansas,Danville,1.0,0
