,Incident Date,State,City Or County,# Killed,# Injured
208,"June 7, 2018",Wisconsin,Union Grove,0,1.0
209,"June 7, 2018",Florida,Orlando,0,1.0
210,"June 6, 2018",Kansas,Sawyer,0,1.0
211,"June 6, 2018",Kentucky,Campbellsville,0,1.0
212,"June 6, 2018",Oklahoma,Lexington,0,1.0
213,"June 6, 2018",Georgia,Albany,0,1.0
214,"June 6, 2018",Ohio,Columbus,0,1.0
215,"June 5, 2018",South Carolina,Greenville,0,1.0
216,"June 5, 2018",Washington,Everett,0,1.0
217,"June 5, 2018",Texas,Borger,1,1.0
218,"June 5, 2018",Massachusetts,Lynn,0,1.0
219,"June 4, 2018",Mississippi,Brookhaven,0,1.0
220,"June 4, 2018",Washington,Yakima,0,1.0
221,"June 4, 2018",Virginia,Richmond,0,1.0
222,"June 4, 2018",South Carolina,Spartanburg,0,1.0
223,"June 4, 2018",Illinois,Chicago Heights (Ford Heights),0,1.0
224,"June 4, 2018",Michigan,Flint,0,1.0
225,"June 3, 2018",Georgia,Brunswick,0,1.0
226,"June 3, 2018",California,San Diego,0,1.0
227,"June 2, 2018",Mississippi,Meridian,0,1.0
228,"June 2, 2018",South Carolina,Gaffney,0,1.0
229,"June 2, 2018",Wisconsin,Racine,0,1.0
230,"June 2, 2018",Wisconsin,Racine,0,1.0
231,"June 2, 2018",Illinois,Chicago,0,1.0
232,"June 2, 2018",Pennsylvania,Fredericktown,0,1.0
233,"June 2, 2018",Colorado,Denver,0,1.0
234,"June 1, 2018",Georgia,Brunswick,0,1.0
235,"June 1, 2018",Louisiana,Plaquemine,0,1.0
236,"June 1, 2018",Louisiana,New Orleans,0,1.0
237,"June 1, 2018",Oklahoma,Tulsa,0,1.0
238,"June 1, 2018",Louisiana,Opelousas,0,1.0
239,"May 31, 2018",Texas,Corpus Christi,0,1.0
240,"May 31, 2018",North Carolina,Greenville,0,1.0
241,"May 31, 2018",Indiana,South Bend,0,1.0
242,"May 30, 2018",Massachusetts,Athol,0,1.0
243,"May 30, 2018",Mississippi,Meridian,0,1.0
244,"May 30, 2018",New York,Utica,0,2.0
245,"May 29, 2018",Pennsylvania,Erie,0,1.0
246,"May 29, 2018",Indiana,South Bend,0,1.0
247,"May 28, 2018",Alabama,Huntsville,0,2.0
248,"May 28, 2018",Indiana,Howe,0,1.0
250,"May 28, 2018",Ohio,Miamisburg,0,1.0
251,"May 28, 2018",Illinois,Chicago,0,1.0
252,"May 28, 2018",Georgia,Smyrna,0,1.0
253,"May 27, 2018",Ohio,Cleveland,0,1.0
254,"May 27, 2018",Illinois,Chicago,0,1.0
255,"May 26, 2018",Michigan,Battle Creek,0,1.0
257,"May 26, 2018",South Carolina,Rock Hill,0,1.0
258,"May 26, 2018",West Virginia,Charleston,0,1.0
259,"May 26, 2018",Arizona,Phoenix,0,2.0
260,"May 25, 2018",Tennessee,Memphis,0,1.0
261,"May 25, 2018",Texas,Waco,0,1.0
262,"May 25, 2018",New Hampshire,Manchester,0,1.0
263,"May 25, 2018",North Carolina,Mooresville,0,1.0
264,"May 25, 2018",Florida,Bradenton,0,1.0
265,"May 25, 2018",South Carolina,Mc Bee (Mcbee),0,1.0
266,"May 24, 2018",Ohio,Minford,0,1.0
267,"May 24, 2018",Louisiana,Monroe,0,1.0
268,"May 24, 2018",Indiana,Indianapolis,0,1.0
269,"May 23, 2018",Maine,Bath,0,1.0
270,"May 23, 2018",Maryland,Dundalk,0,1.0
271,"May 23, 2018",Georgia,Atlanta,0,1.0
272,"May 22, 2018",Washington,Pasco,0,1.0
273,"May 22, 2018",Oklahoma,Tulsa,0,1.0
275,"May 21, 2018",Georgia,Griffin,0,1.0
276,"May 20, 2018",Minnesota,Brainerd,0,1.0
277,"May 20, 2018",Iowa,Council Bluffs,0,1.0
278,"May 20, 2018",Ohio,Akron,0,1.0
279,"May 20, 2018",Texas,Houston,0,1.0
280,"May 20, 2018",Ohio,Warren,0,1.0
281,"May 20, 2018",Alabama,Aliceville,0,1.0
282,"May 19, 2018",Tennessee,Parrottsville,0,1.0
283,"May 19, 2018",Ohio,Columbus,0,1.0
284,"May 19, 2018",California,Scotts Valley,0,1.0
285,"May 19, 2018",Louisiana,Shreveport,0,1.0
286,"May 19, 2018",Alabama,Mobile,0,2.0
287,"May 18, 2018",Tennessee,Nashville,0,1.0
288,"May 18, 2018",Illinois,Chicago,0,1.0
289,"May 17, 2018",Louisiana,Longville,0,1.0
290,"May 17, 2018",Oklahoma,Collinsville,0,1.0
291,"May 17, 2018",North Carolina,Wilmington,0,1.0
292,"May 16, 2018",Wisconsin,Milwaukee,0,1.0
293,"May 16, 2018",Louisiana,Slidell,0,1.0
294,"May 16, 2018",California,Vallejo,0,1.0
295,"May 16, 2018",Pennsylvania,Chambersburg,0,1.0
296,"May 15, 2018",Connecticut,Hartford,0,1.0
297,"May 15, 2018",Iowa,Stuart,0,1.0
298,"May 15, 2018",Indiana,Gary,0,1.0
299,"May 15, 2018",Ohio,Miamisburg,0,1.0
300,"May 13, 2018",South Carolina,North Myrtle Beach,0,1.0
301,"May 13, 2018",Missouri,Kansas City,0,1.0
302,"May 13, 2018",Wisconsin,Milwaukee,0,1.0
303,"May 13, 2018",Illinois,Chicago,0,1.0
304,"May 12, 2018",Kentucky,Coal Run,0,1.0
305,"May 12, 2018",Arkansas,Little Rock,0,4.0
306,"May 12, 2018",Texas,Weatherford,0,1.0
307,"May 12, 2018",Idaho,Latah (county),0,1.0
308,"May 11, 2018",Missouri,Ash Grove,0,1.0
309,"May 11, 2018",Mississippi,Terry,0,1.0
310,"May 11, 2018",Illinois,Chicago,0,1.0
311,"May 11, 2018",Wisconsin,Menasha,0,1.0
312,"May 11, 2018",Massachusetts,Lawrence,0,1.0
313,"May 10, 2018",Iowa,Fort Dodge,0,1.0
314,"May 10, 2018",Ohio,Akron,0,1.0
315,"May 10, 2018",Pennsylvania,Philadelphia,0,1.0
316,"May 9, 2018",Texas,Houston,1,1.0
317,"May 9, 2018",Georgia,Macon,0,2.0
318,"May 9, 2018",California,Bakersfield,0,2.0
319,"May 9, 2018",Florida,Boynton Beach,0,1.0
320,"May 8, 2018",Michigan,Detroit,0,1.0
321,"May 8, 2018",Louisiana,Shreveport,0,1.0
322,"May 6, 2018",Texas,Fort Worth,0,1.0
323,"May 6, 2018",California,Twentynine Palms (Twentynine Palms Mcb),0,2.0
324,"May 6, 2018",Virginia,Norfolk,0,1.0
325,"May 5, 2018",Virginia,Fredericksburg,0,1.0
326,"May 5, 2018",Arizona,Phoenix,0,1.0
327,"May 5, 2018",Ohio,Wakeman,0,1.0
328,"May 5, 2018",Florida,Lake Worth,0,2.0
329,"May 5, 2018",District of Columbia,Washington,0,1.0
330,"May 5, 2018",Washington,Tacoma,0,1.0
331,"May 5, 2018",Idaho,Deary,0,1.0
332,"May 4, 2018",California,Fresno,0,2.0
333,"May 4, 2018",Illinois,Sparta,0,2.0
334,"May 4, 2018",Mississippi,Meridian,0,1.0
335,"May 4, 2018",Ohio,Franklin,0,1.0
336,"May 2, 2018",Illinois,Chicago,0,1.0
337,"May 2, 2018",Ohio,Blanchester,0,1.0
338,"May 1, 2018",Massachusetts,South Hadley,0,1.0
339,"May 1, 2018",California,Compton,0,1.0
340,"May 1, 2018",Texas,Corpus Christi,1,1.0
341,"May 1, 2018",North Carolina,Charlotte,0,1.0
342,"April 30, 2018",Florida,Jacksonville,0,1.0
343,"April 30, 2018",Florida,Miami Beach,0,1.0
344,"April 29, 2018",California,Morgan Hill,0,1.0
345,"April 29, 2018",Pennsylvania,York,0,1.0
346,"April 29, 2018",Indiana,Monroe (county),0,2.0
